user_id,event_id,decision
10000,30098,interested_in
10000,30060,interested_in
10001,30094,interested_in
10001,30017,interested_in
10002,30092,interested_in
10003,30037,interested_in
10003,30084,interested_in
10003,30047,interested_in
10004,30075,interested_in
10004,30073,interested_in
10005,30032,interested_in
10006,30023,interested_in
10006,30086,interested_in
10006,30058,interested_in
10006,30075,going
10007,30098,interested_in
10007,30001,interested_in
10007,30075,interested_in
10008,30084,interested_in
10008,30083,interested_in
10009,30047,interested_in
10009,30092,interested_in
10009,30050,interested_in
10010,30024,interested_in
10010,30022,interested_in
10010,30094,interested_in
10011,30083,interested_in
10011,30000,interested_in
10011,30012,interested_in
10012,30073,interested_in
10013,30010,interested_in
10013,30068,interested_in
10013,30032,interested_in
10013,30001,going
10014,30066,interested_in
10014,30025,going
10015,30039,interested_in
10015,30077,going
10016,30091,interested_in
10017,30053,interested_in
10017,30038,interested_in
10018,30093,interested_in
10018,30036,interested_in
10018,30062,interested_in
10019,30066,interested_in
10019,30095,interested_in
10020,30003,interested_in
10020,30062,interested_in
10021,30024,interested_in
10021,30081,interested_in
10021,30076,interested_in
10021,30066,interested_in
10022,30089,interested_in
10022,30084,interested_in
10022,30000,interested_in
10023,30098,interested_in
10023,30017,interested_in
10023,30083,interested_in
10024,30080,interested_in
10024,30067,interested_in
10024,30064,interested_in
10025,30086,interested_in
10025,30067,going
10025,30061,interested_in
10025,30058,interested_in
10026,30099,interested_in
10026,30005,interested_in
10027,30024,interested_in
10028,30086,interested_in
10029,30062,interested_in
10030,30099,interested_in
10030,30013,interested_in
10030,30048,interested_in
10030,30014,interested_in
10031,30024,interested_in
10031,30024,interested_in
10032,30023,interested_in
10032,30011,interested_in
10032,30064,going
10033,30010,interested_in
10033,30004,interested_in
10034,30079,interested_in
10034,30025,interested_in
10034,30006,interested_in
10034,30095,interested_in
10035,30042,interested_in
10035,30091,interested_in
10035,30049,interested_in
10036,30031,interested_in
10036,30044,interested_in
10036,30029,interested_in
10036,30040,interested_in
10037,30047,interested_in
10038,30010,interested_in
10038,30078,interested_in
10038,30013,interested_in
10039,30036,interested_in
10039,30054,interested_in
10039,30053,interested_in
10040,30097,interested_in
10040,30034,interested_in
10040,30094,interested_in
10040,30075,interested_in
10041,30020,interested_in
10042,30099,interested_in
10042,30087,interested_in
10042,30055,going
10043,30014,interested_in
10043,30004,going
10043,30032,interested_in
10044,30035,interested_in
10044,30087,interested_in
10044,30099,interested_in
10045,30081,interested_in
10046,30072,interested_in
10046,30060,interested_in
10046,30044,going
10046,30085,interested_in
10047,30082,interested_in
10047,30042,interested_in
10047,30062,interested_in
10048,30024,interested_in
10048,30032,interested_in
10049,30076,interested_in
10049,30012,interested_in
10049,30078,interested_in
10050,30083,interested_in
10050,30076,interested_in
10050,30010,interested_in
10050,30037,interested_in
10051,30078,interested_in
10051,30032,interested_in
10051,30012,interested_in
10052,30096,going
10053,30020,interested_in
10053,30073,interested_in
10053,30065,interested_in
10054,30063,going
10054,30074,going
10055,30005,interested_in
10056,30048,interested_in
10057,30081,interested_in
10057,30001,going
10057,30060,interested_in
10058,30081,interested_in
10058,30074,interested_in
10058,30054,interested_in
10058,30025,interested_in
10059,30010,interested_in
10059,30043,interested_in
10059,30002,going
10059,30065,going
10060,30086,going
10060,30065,interested_in
10061,30004,interested_in
10061,30039,interested_in
10061,30083,interested_in
10062,30072,interested_in
10062,30039,interested_in
10062,30029,going
10062,30066,interested_in
10063,30020,going
10063,30001,interested_in
10064,30096,interested_in
10064,30046,interested_in
10064,30011,interested_in
10064,30098,interested_in
10065,30025,interested_in
10065,30063,interested_in
10065,30077,going
10065,30063,interested_in
10066,30000,interested_in
10067,30072,interested_in
10067,30058,interested_in
10067,30003,interested_in
10068,30053,interested_in
10068,30046,interested_in
10068,30046,interested_in
10068,30027,interested_in
10069,30010,interested_in
10069,30092,interested_in
10070,30029,interested_in
10071,30073,interested_in
10071,30042,interested_in
10071,30072,interested_in
10072,30002,interested_in
10073,30037,going
10073,30083,interested_in
10074,30004,interested_in
10074,30093,interested_in
10075,30020,interested_in
10075,30013,interested_in
10075,30018,interested_in
10075,30032,interested_in
10076,30066,interested_in
10077,30039,going
10077,30057,interested_in
10077,30014,interested_in
10077,30018,interested_in
10078,30049,interested_in
10078,30020,interested_in
10078,30083,interested_in
10079,30086,interested_in
10079,30051,interested_in
10079,30073,interested_in
10080,30068,interested_in
10080,30052,interested_in
10080,30017,interested_in
10081,30070,interested_in
10082,30028,interested_in
10082,30054,interested_in
10082,30022,interested_in
10083,30003,interested_in
10083,30029,interested_in
10083,30050,interested_in
10084,30006,interested_in
10085,30001,interested_in
10085,30019,interested_in
10085,30093,interested_in
10085,30002,interested_in
10086,30040,interested_in
10086,30033,interested_in
10086,30090,interested_in
10086,30046,interested_in
10087,30022,going
10088,30001,interested_in
10089,30023,interested_in
10089,30091,interested_in
10089,30019,interested_in
10089,30032,interested_in
10090,30042,interested_in
10090,30079,interested_in
10090,30064,interested_in
10090,30018,interested_in
10091,30006,interested_in
10091,30007,interested_in
10092,30046,interested_in
10092,30014,interested_in
10092,30025,interested_in
10092,30080,interested_in
10093,30009,interested_in
10093,30027,interested_in
10094,30096,interested_in
10094,30056,interested_in
10094,30065,interested_in
10095,30094,interested_in
10095,30029,interested_in
10096,30080,interested_in
10097,30063,interested_in
10097,30025,interested_in
10097,30093,interested_in
10098,30043,interested_in
10099,30042,interested_in
10100,30012,interested_in
10100,30085,interested_in
10100,30049,interested_in
10101,30045,interested_in
10102,30030,interested_in
10103,30059,going
10103,30074,going
10103,30038,interested_in
10104,30006,interested_in
10104,30011,interested_in
10105,30094,interested_in
10105,30030,interested_in
10105,30022,interested_in
10106,30008,interested_in
10107,30070,interested_in
10107,30000,interested_in
10107,30068,interested_in
10108,30053,going
10109,30091,interested_in
10109,30051,interested_in
10109,30014,interested_in
10109,30084,interested_in
10110,30088,interested_in
10111,30030,interested_in
10111,30038,interested_in
10112,30038,interested_in
10113,30047,interested_in
10113,30095,interested_in
10114,30091,interested_in
10115,30082,interested_in
10116,30061,interested_in
10116,30009,interested_in
10116,30097,interested_in
10117,30040,interested_in
10117,30012,interested_in
10117,30007,interested_in
10118,30056,interested_in
10118,30027,going
10119,30054,interested_in
10119,30060,interested_in
10120,30038,going
10121,30048,interested_in
10121,30068,interested_in
10122,30094,interested_in
10122,30054,interested_in
10123,30047,interested_in
10123,30091,interested_in
10123,30082,interested_in
10123,30091,interested_in
10124,30068,interested_in
10125,30025,interested_in
10125,30011,interested_in
10126,30047,interested_in
10126,30006,interested_in
10126,30056,interested_in
10127,30076,interested_in
10127,30091,interested_in
10127,30027,interested_in
10128,30067,interested_in
10128,30092,interested_in
10128,30068,interested_in
10128,30015,interested_in
10129,30054,interested_in
10129,30018,interested_in
10130,30031,interested_in
10130,30002,going
10130,30017,interested_in
10131,30026,interested_in
10131,30067,interested_in
10132,30089,interested_in
10132,30097,interested_in
10133,30005,interested_in
10133,30084,interested_in
10133,30035,interested_in
10133,30076,interested_in
10134,30056,interested_in
10135,30011,interested_in
10135,30031,interested_in
10136,30008,going
10136,30082,interested_in
10137,30035,interested_in
10137,30083,interested_in
10138,30091,interested_in
10138,30049,interested_in
10138,30002,interested_in
10139,30011,going
10139,30070,interested_in
10140,30031,interested_in
10140,30007,interested_in
10140,30056,interested_in
10141,30029,going
10141,30035,interested_in
10141,30018,interested_in
10141,30045,interested_in
10142,30073,interested_in
10142,30022,interested_in
10142,30018,interested_in
10143,30039,interested_in
10143,30086,interested_in
10143,30092,interested_in
10143,30036,interested_in
10144,30080,interested_in
10144,30052,interested_in
10144,30032,interested_in
10144,30094,interested_in
10145,30059,interested_in
10146,30037,interested_in
10146,30014,interested_in
10147,30093,interested_in
10147,30014,interested_in
10147,30070,going
10147,30020,interested_in
10148,30096,interested_in
10149,30031,going
10149,30056,interested_in
10149,30025,interested_in
10149,30035,interested_in
10150,30082,interested_in
10150,30050,interested_in
10150,30033,interested_in
10151,30013,interested_in
10151,30050,interested_in
10151,30077,interested_in
10152,30065,interested_in
10152,30042,interested_in
10153,30055,interested_in
10153,30039,interested_in
10153,30088,going
10154,30067,interested_in
10154,30060,interested_in
10155,30066,interested_in
10155,30051,interested_in
10155,30002,interested_in
10156,30002,going
10156,30018,interested_in
10156,30068,interested_in
10157,30014,interested_in
10158,30009,interested_in
10158,30005,interested_in
