user_id,issue_id,role
10000,50076,supports
10000,50196,supports
10000,50140,supports
10003,50170,supports
10003,50002,supports
10003,50010,supports
10004,50136,supports
10004,50193,supports
10004,50184,supports
10005,50133,supports
10005,50079,supports
10006,50088,supports
10006,50195,supports
10006,50071,supports
10007,50044,supports
10008,50064,supports
10008,50139,supports
10008,50099,supports
10009,50154,supports
10009,50105,supports
10009,50151,supports
10009,50197,supports
10011,50129,supports
10011,50069,supports
10011,50154,supports
10011,50148,supports
10013,50045,supports
10014,50172,supports
10015,50135,supports
10015,50163,supports
10015,50157,supports
10016,50193,supports
10016,50142,supports
10017,50145,supports
10017,50098,supports
10017,50069,supports
10018,50061,supports
10018,50111,supports
10020,50001,supports
10021,50124,supports
10022,50127,supports
10023,50062,supports
10025,50047,supports
10025,50183,supports
10025,50044,supports
10026,50198,supports
10026,50079,supports
10026,50109,supports
10027,50037,supports
10027,50121,supports
10027,50042,supports
10030,50023,supports
10031,50120,supports
10031,50178,supports
10031,50155,supports
10032,50130,supports
10032,50163,supports
10032,50188,supports
10032,50040,supports
10033,50154,supports
10033,50127,supports
10034,50146,supports
10034,50093,supports
10036,50121,supports
10036,50172,supports
10036,50052,supports
10038,50000,supports
10038,50149,supports
10038,50106,supports
10038,50189,supports
10039,50101,supports
10039,50031,supports
10040,50122,supports
10040,50084,supports
10041,50062,supports
10041,50169,supports
10042,50111,supports
10042,50021,supports
10042,50034,supports
10042,50042,supports
10043,50052,supports
10043,50158,supports
10043,50162,supports
10043,50195,supports
10044,50158,supports
10044,50142,supports
10044,50060,supports
10044,50155,supports
10045,50015,supports
10046,50093,supports
10046,50013,supports
10047,50145,supports
10047,50074,supports
10047,50118,supports
10048,50198,supports
10048,50092,supports
10048,50098,supports
10048,50181,supports
10049,50030,supports
10051,50180,supports
10051,50060,supports
10053,50067,supports
10053,50141,supports
10053,50105,supports
10054,50062,supports
10054,50071,supports
10054,50150,supports
10055,50189,supports
10055,50160,supports
10055,50075,supports
10055,50155,supports
10056,50115,supports
10056,50113,supports
10056,50179,supports
10057,50131,supports
10057,50118,supports
10057,50169,supports
10058,50114,supports
