user_id,ngo_id,role
10000,20088,follows
10001,20053,follows
10002,20075,follows
10002,20095,follows
10003,20020,follows
10004,20087,follows
10005,20061,follows
10006,20059,follows
10006,20017,follows
10006,20095,follows
10007,20053,follows
10007,20017,follows
10007,20015,follows
10008,20037,follows
10009,20047,follows
10009,20093,follows
10009,20039,follows
10010,20056,follows
10010,20074,follows
10010,20093,follows
10011,20093,follows
10011,20074,follows
10011,20090,follows
10011,20044,follows
10012,20090,follows
10012,20074,follows
10012,20068,follows
10012,20081,follows
10013,20034,volunteers
10013,20093,follows
10014,20074,follows
10014,20046,follows
10015,20037,follows
10015,20032,follows
10016,20006,follows
10016,20092,follows
10017,20077,follows
10017,20037,follows
10017,20050,follows
10017,20070,follows
10018,20065,follows
10018,20023,follows
10018,20040,follows
10019,20073,follows
10020,20025,follows
10021,20027,follows
10021,20083,follows
10021,20056,follows
10021,20060,follows
10022,20073,follows
10022,20020,follows
10022,20098,follows
10023,20064,follows
10024,20029,follows
10024,20078,follows
10024,20014,follows
10024,20038,follows
10025,20049,follows
10025,20062,follows
10025,20082,follows
10026,20044,follows
10027,20003,follows
10027,20072,follows
10027,20088,follows
10028,20083,follows
10028,20051,follows
10029,20048,follows
10030,20063,follows
10030,20014,volunteers
10031,20050,follows
10032,20018,follows
10032,20023,follows
10033,20073,volunteers
10033,20076,follows
10033,20060,follows
10034,20076,follows
10034,20051,follows
10034,20013,follows
10035,20084,follows
10035,20098,follows
10035,20023,follows
10035,20094,follows
10036,20036,volunteers
10037,20064,follows
10037,20071,follows
10038,20041,follows
10038,20043,follows
10038,20073,follows
10038,20070,follows
10039,20087,follows
10039,20038,follows
10040,20054,follows
10041,20039,follows
10042,20079,follows
10042,20015,follows
10043,20015,follows
10043,20040,volunteers
10043,20075,follows
10043,20099,follows
10044,20065,follows
10045,20029,follows
10046,20047,follows
10047,20037,follows
10048,20094,follows
10049,20005,volunteers
10049,20071,follows
10050,20013,follows
10050,20017,follows
10050,20047,follows
10050,20081,follows
10051,20069,follows
10051,20004,follows
10051,20052,follows
10052,20024,follows
10053,20000,follows
10053,20045,follows
10053,20072,follows
10054,20037,follows
10054,20040,follows
10054,20018,follows
10055,20075,follows
10055,20004,follows
10055,20004,follows
10056,20051,follows
10056,20048,follows
10056,20006,follows
10056,20020,follows
10057,20005,follows
10057,20015,follows
10057,20099,follows
10057,20003,follows
10058,20078,follows
10059,20091,follows
10059,20051,follows
10059,20032,follows
10060,20091,follows
10060,20090,follows
10061,20022,follows
10061,20057,follows
10061,20080,follows
10061,20049,follows
10062,20010,follows
10062,20009,follows
10062,20053,follows
10062,20059,follows
10063,20055,volunteers
10064,20062,follows
10064,20038,follows
10065,20056,follows
10066,20077,follows
10066,20067,follows
10066,20089,follows
10066,20011,follows
10067,20055,follows
10067,20055,follows
10067,20003,volunteers
10068,20030,follows
10068,20028,volunteers
10069,20023,follows
10069,20019,follows
10069,20091,follows
10069,20090,follows
10070,20093,follows
10070,20072,follows
10070,20086,volunteers
10070,20069,follows
10071,20097,follows
10072,20066,follows
10073,20074,follows
10073,20031,follows
10074,20078,follows
10074,20076,follows
10074,20037,follows
10075,20043,follows
10076,20020,follows
10076,20021,follows
10077,20091,follows
10077,20057,follows
10078,20096,follows
10078,20043,follows
10078,20078,follows
10078,20078,follows
10079,20015,follows
10079,20044,follows
10079,20025,follows
10080,20011,follows
10080,20097,follows
10081,20096,follows
10081,20074,follows
10082,20038,follows
10082,20052,follows
10082,20073,volunteers
10082,20097,follows
10083,20048,follows
10083,20047,follows
10084,20086,follows
10085,20040,follows
10086,20028,follows
10086,20020,follows
10087,20054,volunteers
10088,20044,follows
10088,20017,follows
10088,20052,follows
10089,20099,follows
10089,20044,follows
10090,20022,follows
10090,20083,volunteers
10091,20020,volunteers
10092,20061,follows
10092,20084,follows
10092,20036,follows
10093,20045,follows
10093,20093,follows
10094,20098,follows
10094,20026,follows
10094,20015,follows
10095,20016,follows
10095,20012,follows
10096,20097,follows
10096,20007,follows
10096,20092,volunteers
10097,20042,follows
10097,20080,follows
10097,20022,follows
10098,20078,follows
10098,20005,follows
10099,20086,follows
10099,20015,follows
10099,20072,follows
10100,20088,follows
10100,20040,follows
10101,20035,follows
10102,20052,follows
10103,20087,follows
10103,20092,follows
10104,20063,follows
10104,20048,volunteers
10104,20069,follows
10104,20069,follows
10105,20058,volunteers
10105,20081,follows
10105,20037,follows
10105,20044,follows
10106,20065,follows
10106,20076,follows
10106,20010,follows
10107,20031,follows
10108,20072,follows
10108,20031,follows
10108,20024,follows
10109,20065,follows
10109,20088,follows
10109,20028,follows
10109,20030,follows
10110,20070,follows
10110,20058,follows
10110,20001,follows
10110,20089,follows
10111,20024,follows
10112,20035,follows
10112,20090,follows
10112,20038,follows
10113,20034,follows
10114,20077,follows
10114,20097,follows
10114,20026,follows
10115,20065,volunteers
10115,20033,follows
10116,20071,follows
10116,20052,follows
10116,20036,follows
10116,20080,follows
10117,20001,follows
10118,20043,follows
10118,20004,follows
10119,20048,follows
10120,20035,follows
10120,20081,follows
10120,20014,follows
10121,20010,follows
10121,20016,follows
10121,20030,follows
10122,20096,follows
10122,20087,follows
10122,20069,follows
10122,20043,follows
10123,20086,follows
10123,20021,follows
10124,20008,follows
10124,20007,follows
10124,20032,follows
10125,20030,follows
10125,20095,follows
10125,20047,follows
10125,20051,follows
10126,20004,follows
10126,20002,follows
10127,20005,follows
10127,20078,follows
10127,20079,follows
10127,20009,follows
